candidate_id,canonical_smiles,route_precedent,starting_materials_identified,isolated_steps,regiochemistry_resolved,azide_handling_plan,functional_group_compatibility,chemist_route_decision,ehs_decision,route_status,notes
rnn-1101-00010,[N-]=[N+]=Nc1ccccc1CCC(=O)O,,,,,,,,,pending_chemist_review,
rnn-4404-01129,[N-]=[N+]=Nc1ccccc1-c1nc(N2CCOCC2)c2c(n1)S(=O)(=O)CCCC2,,,,,,,,,pending_chemist_review,
rnn-5505-00790,COc1ccc(-c2nnn(C(C)c3ccccc3N=[N+]=[N-])n2)cc1,,,,,,,,,pending_chemist_review,
rnn-3303-06281,COc1cc2c(cc1Cl)NC(=O)CC2c1ccccc1N=[N+]=[N-],,,,,,,,,pending_chemist_review,
rnn-4404-04881,[N-]=[N+]=Nc1ccccc1C1CN=C(c2ccncc2)c2ccccc2O1,,,,,,,,,pending_chemist_review,
rnn-4404-09385,CC(C)(c1ccccc1N=[N+]=[N-])c1c[nH]c2ncccc12,,,,,,,,,pending_chemist_review,
rnn-4404-07282,Cn1c(-c2ccc(C(=O)O)cc2)cnc1N1CCCC1c1ccccc1N=[N+]=[N-],,,,,,,,,pending_chemist_review,
rnn-1101-07938,CCOC1=C(C(=O)OC)C(c2cccs2)C(C)(c2ccccc2N=[N+]=[N-])O1,,,,,,,,,pending_chemist_review,
rnn-2202-01479,[N-]=[N+]=Nc1ccccc1Nc1c(Cl)ccc2c1CCC2,,,,,,,,,pending_chemist_review,
rnn-3303-09366,Cc1ccc(C(C)C)c(NS(=O)(=O)c2ccccc2N=[N+]=[N-])c1,,,,,,,,,pending_chemist_review,
rnn-5505-04974,[N-]=[N+]=Nc1ccccc1N1C(=O)NC2(CCCCC2)c2ccccc21,,,,,,,,,pending_chemist_review,
rnn-5505-04823,CC(C)Cc1onc(C(=O)Nc2ccccc2N=[N+]=[N-])c1[N+](=O)[O-],,,,,,,,,pending_chemist_review,
rnn-5505-08681,[N-]=[N+]=Nc1ccccc1CCCN1C(=O)C2CS(=O)(=O)C3=C(C(=O)N(c4cccc(Br)c4)C3=O)N2C1=O,,,,,,,,,pending_chemist_review,
rnn-2202-05914,CC(=S)OCC1OC(c2ccccc2N=[N+]=[N-])C(O)C(O)C1O,,,,,,,,,pending_chemist_review,
rnn-1101-05605,CN(CCc1ccccc1N=[N+]=[N-])C1CCc2ccc(-c3nnc(N)s3)cc21,,,,,,,,,pending_chemist_review,
rnn-1101-07541,[N-]=[N+]=Nc1ccccc1C1(O)CC2CCN(Cc3ccccc3Cl)C2C1,,,,,,,,,pending_chemist_review,
